,id,in_out,year,no_motives,humble_motives,good_motives,bad_motives,>2_motives,worse_motives,mistakes,summ,text
50,50,out,2018,0,0.0,1.0,1.0,1.0,0.0,1,21.0,"Мне 32 года и в  прошлом году я наконец-то получила высшее образование. Для меня это был очень длинный и сложный путь, поэтому несмотря на то, что мне не удалось найти работу по специальности, я считаю, что преодоление дистанции от аттестата до диплома о высшем образовании – моё большое достижение; с другой стороны иметь прикладную профессию также необходимо и это мой следующий шаг. Моя работа позволяет мне работать над дополнительными задачами и последние несколько месяцев я занималась подготовкой к поступлению в магистратуру СГУ на специальность «Преподаватель английского языка». Я выбираю именно профессию учителя по нескольким причинам.  Во-первых, я очень люблю общаться с детьми – за живость, высокую восприимчивость, открытость. Живая человеческая реакция – это то, что мотивирует меня.  Во-вторых, я на собственном опыте убедилась, как важно иметь рядом человека, который поможет определить себя в профессиональном смысле с одной стороны и с другой не менее важно, чтобы учитель любил не только детей, но и то, чему он учит. Спустя почти 20 лет после окончания школы я сохранила интерес и увлеченность предметами, которым учили увлеченные люди. И в отсутствие рядом взрослого, который осознанно относился бы к выбору профессии, мой путь к этому занял слишком много времени.  В-третьих, почти все члены моей семьи в большей или меньшей степени были заняты в преподавательской и учительской деятельности, и мне хочется продолжать эту деятельность и чувствовать единство со своей семьей, сделать свой вклад в это дело. Своим предметом я выбрала именно английский. Я сама увлечена предметом настолько, что подняла свой уровень с базового до уверенного середнячка совершенно самостоятельно – почти без преподавателей, школ, курсов. Думаю, что мне удалось в 32 года разобраться и достичь некоторых успехов в совершенно незнакомой области не только благодаря личным качествам и любви к саморазвитию, но и базе, которая была заложена именно в детстве. Знание английского языка является обязательным для образованного человека почти во всём мире,  в России этот скил тоже ценится всё больше, появляется всё больше профессий, в которых это необходимо. Преподавание будет обоюдной мотивацией – для меня продолжать развиваться в направлении, которое заряжает и заряжать своих учеников. К тому, что я уже описала, можно добавить, что любой язык – это коммуникация и коммуникация – это, пожалуй, самое важно в обучении любому предмету, так почему бы не совместить это, выбрав своим предметом иностранный язык? Теперь, когда я достаточно описала, почему я хочу стать учителем, осталось только добавить, что думаю, «Учитель для России» - это намного круче, чем обучение профессии в ВУЗе, потому что учиться я буду в процессе работы. Идея стать учителем, получить серьёзную профессию так быстро весьма волнительна. Очень много переживаний, вопросов, например: достаточно ли моих способностей, чтобы окунуться в совершенно новый мир и проявить себя с лучшей стороны? Это обстоятельство добавляет огромное преимущество программе «Учитель для России» перед классическим образованием, потому что я получу качественную и достаточную по длительности практику в среде единомышленников и при поддержке профессионалов. Дополнительные преимущества: а) этот формат высшего образования  имеет больше авторитета, так как это государственная программа, б) я получу диплом престижного Московского ВУЗа, в) финансовая поддержка участников."
114,114,out,2018,0,0.0,1.0,0.0,1.0,0.0,0,18.0,"""Учитель не просто профессия, а часть жизни каждого человека. И эта часть должна быть самой лучшей"". Мой выбор профессии учитель, стал не спонтанным решением, а осмысленным шагом. Первым опытом стала работа   ""Организатора детских дел"", в той школе, которую закончила. Именно в этот первый год работы с детьми и педагогами познакомили меня с обратной стороной образовательной и воспитательной деятельности. В последствии я поступила в ВУЗ по специальности ""История и право"" на вечернее отделение в городе Кустанай и продолжила работу в школе.  Радость и положительные эмоции, получаемые детьми, их родителями и учителями неподдельно. Усилия и труд который был вложен всеми участниками умелой рукой педагога выстраивались в последовательную цепочку событий, которая не видна внешне: поиск идеи, планирование, проектирование, подготовка и организация, проведение мероприятия или прохождение аттестаций, все это отдельные капли тех действий, которые осуществляет каждый педагог к уроку, классный руководитель к мероприятию и т.д. Достижение цели выльется в реку, решенных последовательно педагогических и воспитательных задач. Только верхушка этого ""айсберга""видна всем - знания, навыки, умения, психологический опыт станут багажом в формировании будущего подрастающего поколения граждан государства. Гордость за положительный результат: победы в олимпиадах, конкурсах, отличные результаты, блеск в глазах детей и их стремления, родительские эмоции и их благодарность невозможно измерить какими либо критериями. Вот наверное, то что оставит позади бессонные ночи, поиск подходящих методик и технологий, их изучение, время и радость от слов ""Спасибо!"". Именно эти чувства давали мне уверенности и убежденности в важной роли учителя, я искренне уверенна в благе и непререкаемом миссии профессии учитель. Да! Не все осмелятся признаться, но я уверенна, что по истечении лет, становлении личности, накоплению жизненного опыта они вспоминают добрыми словами своих педагогов и их советы, простые слова горящих сердец. Мне предоставилась возможность работать и администратором в качестве заместителя директора по УВР, но я решила от нее отказаться, так как все больше уходила от непосредственной близости с детьми и работы с ними.  Я разделяю миссию программы ""Учитель для России"", действительно доступность и возможность регионов ниже в получении высокого уровня образования, поэтому считаю, когда если не сейчас, принять участие и внести свой вклад в расширении образовательной платформы.  Ранее я имела опыт по организации мероприятий за пределами школьных программ: организация экскурсий, экспедиции археологических раскопок в составе группы студентов КГУ им.Байтурсынов, поездки в районы области по изучению области в период ""Освоения целинных и залежных земель"" и др. Проводила подготовку в итоговой аттестации учащихся, которую успешно проходили все (нет ни одной двойки и пересдачи). Результаты самых высоких баллов единичны, но средний уровень заданий выполнялся большинством. Только с рядом событий и времени по достоинству можно оценить, то что имел, что имеешь и что теряешь. В январе две тысячи восемнадцатого года я стала гражданкой РФ (ранее Республика Казахстан), где проработала педагогом более семнадцати лет. Переехав на новое место жительство, хотела продолжить свою профессиональную деятельность в области образования. Однако, трудность с которой столкнулась - это узость специализации учителя истории. Надеюсь с благодаря участию в программе я смогу продолжить педагогическую деятельность, так как территориальной привязанности не имею, буду согласна и на переезд не только на программный период, но и дольше."
180,180,out,2018,0,1.0,0.0,0.0,0.0,0.0,1,16.0,"Я бы хотела преподавать в школе, но сейчас я чувствую, что мне, наверное, не хватает знаний того, как именно преподавать то, что ты знаешь и как лучше начать. Когда увидела рекламу об ""учителе для россии"", решила, что это отличная возможность для реализации себя в педагогической карьере, так как подготовка даёт необходимую базу. Это очень здорово, что существует такая программа, которая занимается помощью подготовки учителей, ведь эта одна из самых серьезных и нужных специальностей, а от подготовки зависит будущее качество преподавания, значит и уровень образования в целом."
242,242,out,2018,0,1.0,0.0,1.0,0.0,0.0,0,14.0,"Короткий ответ таков: общество ведут к деградации. Я не могу этого допустить. Мы не можем этого допустить. Развёрнутый ответ в виде эссе? Держите: Я верю, что первый звонок и белые бантики будут всегда – по крайней мере, в нашей, русской цивилизации. Учреждения образования – от детского садика и до университета – выполняют две основные функции: воспитывают в человеке личность и личность обеспечивают знаниями. Не секрет, что все человечество, по сравнению с животными, птицами и насекомыми, составляет ничтожную массу вещества планеты. Но мощь человечества связана не с материей, а с мозгом, т.е. разумом.  На сегодняшний день в мире отчётливо прослеживается тенденция к искусственной интеллектуальной деградации человеческих масс. Если планомерная работа над развитием чего-либо в человеке и ведётся, то над развитием его потребительских нужд. У человека отнимают способность думать, и взамен предлагают способность хотеть, покупать, использовать. Между какими силами идёт борьба за наши умы и умы наших детей? Силами Добра и Зла, Света и Тьмы. Вот нетленный образ происходящего. Переход от «я думаю» к «я хочу» превращает человека в животное, возвращает от мысли к инстинктам, делает более уязвимым, ригидным, управляемым. Именно в стенах учебных заведений – детских садах, школах, техникумах, университетах – будущим взрослым должна быть сделана «прививка» от хорошо организованного  инфернального влияния внешних сил. И эта прививка – развитие разума. Невероятно важно научить наших детей мыслить, анализировать, исследовать, разрабатывать. Если мы с этим не справимся, наша оплошность может стать для нас гибельной. Думаете, я преувеличиваю? Нисколько. И вот почему.  Некто Мальтус (к слову, англичанин) мрачно предрекал человечеству неизбежную гибель от перенаселения и исчерпания ресурсов Земли. Особенно впечатлительные и влиятельные силы далее разработали под эти страхи Новый Мировой порядок, постулаты которого записаны в знаменитых скрижалях Джорджии, где людям предлагается сократиться до полумиллиарда. А вышеупомянутый Т. Мальтус, родившийся в дворянской семье, в своих трудах однозначно растолковывает, какой именно слой населения нужно подвергнуть «сдерживающим механизмам».  Не стоит удивляться, что мы – дети и ученики России, категорически против этого! Мы не позволим провести хорошо спланированную операцию уничтожения нашей цивилизации. Мы обеспечим нашим потомкам благополучное и светлое будущее без манипуляций и подчинённости. Это для нас сакральная задача. И в её достижении нам помогут знания, осведомлённость, способность мыслить и служение Силам Добра! "
255,255,out,2018,0,1.0,0.0,0.0,0.0,0.0,1,14.0,"Программа ""Учитель для России"" для меня в первую очередь это возможность в полной мере реализовать свой потенциал как творческий так и организационный.  Вовлечение в такой масштабный  проект позволит осознать свою значимость  и полезность. Плюс ко всему интересные встречи, знакомства, возможность путешествовать, открывать в себе и в других новые способности и навыки."
256,256,out,2018,0,1.0,0.0,0.0,0.0,0.0,1,14.0,"Несмотря на уже достаточный возраст (27 лет) я до сих пор ищу новые способы самореализации и готов к новым проектам. Описание на НН.ru программы ""Учитель для России"" показалось мне очень интересным. Я уверен что в рамках данной программы смогу многое для себя открыть, увидеть как еще можно взаимодействовать с детьми и другими педагогами. Если честно, то одна из моих сильных черт - любопытство. Именно она толкает меня на новые знакомства и новые проекты. Я не очень хорош в письменном изложении своих мыслей. "
263,263,out,2018,0,1.0,0.0,0.0,0.0,1.0,1,14.0,"О работе учителем мечтал еще с юных лет, будучи сидя на первой парте в ВУЗе. Работа отвественная, но в то же время это работа на которой виденрезультат сразу. Ты учишь, ты закладываешь некое мировозрения людям, которые выйдут из школьных скамй во взрослую жизнь. Учитель это человек который непосредственно участвует в формировании будущего поколения. От него зависит многое. Кто это ученики сегодня и какими они будут завтра в большинстве случаев зависит именно от грамотного педагога. Я хочу чтобы дети вразных регионах России смогли чувствовать себя единым целом со страною, убрать эти навязанные западными импералистами идеи о том, что хорошо живут лишь города федерального значения, в то время как область на порядок ниже в различных общественно важных сферах. Хочется внушить детям уверенность, что каждый из них сможет после окончания школы пойти учится на бюджетные места в ведущие ВУЗы страны. Им не надо иметь школьные аттестаты москвича, им надо просто поверить в себя, поработать над собою под чутим руководством педагога и успех будет обеспечен. Тем самым создавая специалистов на местах, мы сможем улучшать жить в регионах страны. Уже сегодня Правительство России сделало многое для того, что уровнять экономические различия в стране. Поднятие зарплат в регионах, создание рабочих мест, улучшния качесство жизни путем развития инфраструктуры за счет средств федерального бюджета. Жить в регионах стало значительно лучше с времен экномического упадка 90 - х гг прошлого столетия. Учитель для России вот еще одно прямое доказательство работы Правительство над улучшением качества образования врегионах страны. И я готов стать небоьшим звенм в реализации этой замечательной программы, которая помогает как ученикам, так и учителя реализовать свое творчество."
265,265,out,2018,0,1.0,0.0,0.0,0.0,0.0,1,14.0,"Участие в программе для меня шанс стать хороший учителем. Тяжело начинать и продолжать, когда ты не знаешь в каком направлении двигаться, когда нужен помощник, наставник. Безусловно, есть масса возможностей для самообразования, однако они не дадут такого быстрого и качественного результата, как участие в программе ""Учитель для России"". Мне нравится преподавать, но в своей школе я не вижу возможностей для самореализации и реализации своих идей. "
268,268,out,2018,0,1.0,0.0,0.0,0.0,0.0,1,14.0,"Закончился проект под названием ""ортопедия и реабилитация"", завершился дачный сезон. Что дальше? Что делать-то? Что я могу? Информации из разных областей в голове масса. Куда применить? HeadHunter в помощь. Что имеется? Продажи? - Нет, не мое. Плавали, знаем. Видимо, характер не тот. Закупки? - возможно, но лучше, чтобы тогда можно было и язык применить. Смотрим ВЭД - небогат выбор. Уже несколько месяцев одни и те же вакансии. Такая текучка или не найдут никак? О, а эти вакансии и год назад висели. ""Офис"", ""с 9 до 18"", ""активно развивающаяся компания"", ""поиск и подбор"", ""мониторинг"", ""контроль"" - знаем-знаем. Только вот не ""ёкает"" уже. Да и польза где? Реальная польза? Тем людям, которые вот каждый день встречаются по дороге на работу, в магазин, в храм. Вот у свекрови хорошая профессия: конкретная, основательная и очень полезная. Очень. И во все времена. Она врач. Говорила мама ""иди на врача"". Нет, не пошла. На кровь неприятно смотреть, до сих пор глаза в поликлинике закрываю, когда из вены пробирками красную жидкость откачивают. Да и фантазия разыгрывается, когда про болячки разговоры начинаются. ""Спасибо, давайте не при мне, сменим тему может?"" Вот и врач тоже не про меня.  Да и еще ближайшие лет 10 учиться, а то что уже выучила, куда деть? Учила, учила, пора бы и передавать уже науку-то.  А ведь если вспомнить, то всегда в сфере образования мне интересно было: и за партой в школе, и в университете в одном, потом в другом, и на самой первой работе в ВУЗе со студентами очень занимательно было. Да и после, на занятиях английским: очень душевная атмосфера всегда была. Английский-английский... Опять мысли про преподавание. Может, уже стоит попробовать? С детьми вроде хорошо общение складывается. Да и у дочки прогресс наметился, когда занимались. На работе как-то говорили, что, мол, хорошо, доходчиво и терпеливо объясняю. Может, выйдет из меня педагог? Посмотрим, что требуется. ""Опыт"", ""педагогический опыт"", ""педагогическое образование"", ""опыт работы с детьми"". А где его взять-то, опыт? Желание есть, опыта нет. ""Учитель для России"" - а это что такое? Интересно. Неужели такие программы существуют? И научат, и подскажут, и помогут, да еще и 5-6 лет на еще одно образование тратить не надо. И кто же это все придумал? Алёна, Елена - да они просто умницы! Такой важный, нужный, социальный проект организовали! А то многие говорят: вот, беда с образованием, дети не учатся, учителя не учат, предмета не знают. А что каждый из нас сделал, чтобы что-то изменить? Разговоры-разговоры... А людей-то в программе уже сколько! Молодцы ребята! ""Вставай страна огромная!"" Правильно, с детей нужно начинать, со школы. Знания давать, людей воспитывать интересных, творческих, неравнодушных. И  почему мне раньше не попалась эта информация? А программа-то как раз и в Воронеже действует. Школ пока еще немного охвачено. Ну надо же! Одна из них  в Березовой роще! Да все это прямо как для меня! Удивительно! Тогда и не стоит терять время, нужно скорее регистрироваться. Итак, за работу!"
271,271,out,2019,0,1.0,0.0,0.0,0.0,0.0,1,14.0,"Мне всегда нравилось делиться своими знаниями и умениями. Работая репетитором я получала огромное удовольствие от результатов моих учеников. Мне нравится работать с детьми, помогать им становиться лучше, помогать им решать их вопросы. Рассказывать новую для них информацию. Объяснять. Я очень спокойно могу объяснять какую-либо информацию использую разные подходы. Я хочу быть причастной к развитию и становлению нашей страны и только через детей мы может добиться прекрасного будущего."
275,275,out,2019,0,1.0,0.0,0.0,0.0,0.0,0,14.0,"Имею опыт общения с детьми разной социальной среды,могу внести свой вклад ,оказывая психолого-педагогическую помощь детям,имеющим трудности социализации,учебе,поиске своего ""Я"",могу также работать с категорией ""одаренные дети"",оказывать свою профессиональную помощь в решении каждодневных проблем коллектива"
281,281,out,2018,0,1.0,0.0,0.0,0.0,0.0,0,13.0,"Желаю начать карьеру в педагогической сфере. И в рамках проекта вижу возможности и преимущества! Долгое время искал себя в жизни, менял род занятий (что нормально не смотря на стереотипы). По натуре-педагог. Всегда стремился и продолжаю стремится к развитию и всегда был примером для подражания сверстникам, друзьям, окружающим (популяризировал и продолжаю здоровый и активный образы жизни). Любовь к биологии сделала детство интересным, ярким и  разнообразным. Любовь к биологии после детских лет способствовала появлению новых интересов, некоторые из них превращались в род занятий и профессиональный зароботок. А именно: аквариумный дизайн и участие в конкурсах, работа в зоопарке, жизнь и путешествие в стране мечты-Индонезии, создание детского проекта с занятиями по биологии, хобби дайвинг и сёрфинг, работа гидом, учёба в магистратуре РАН и т.д. Жизнь полна красок! Лет с 27 осознал,что есть тяга к педагогике,что дарить глубокие знания по биологии, преподнося их в интересной форме, для меня доставляет удовольствие. И если ранее развивался сам, то на данный момент есть желание дарить знания по биологии другим (детям), делясь опытом, показывать им возможности и побуждать к осознанию того, чего они могут добиться для себя, в жизни или для других (в том числе для окружающей среды), получая полезную информацию по биологии в рамках школьной программы и не только. Пора работать не только на себя, но и для общества! Себя в педагогике я вижу решающим глобальные задачи специалистом, а не, просто, работником школы, который ходит на работу с 9 до 15!"
282,282,out,2018,0,1.0,0.0,0.0,0.0,0.0,1,13.0,"Я хочу стать участником программы «Учитель для России», потому что хочу получить педагогический опыт, поделиться с учениками, полученными мной знаниями в университете, дать детям из региональных школ знания, умения и навыки, которые позволили бы им воплотить свои мечты, вне зависимости от их территориального нахождения,  социально-экономического положения, воспитать в них лучшие человеческие качества, тем самым повлиять на формирование здорового и  успешного молодого поколения граждан Российской Федерации. "
